year_month,year,month,carrier,carrier_name,airport_code,city,state,airport_full_name,airport_name_cleansed,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015-01-01,2015,1,AS,Alaska Airlines Inc.,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,64.0,9.0,2.74,0.09,5.6,0.0,0.57,0.0,0.0,299.0,75.0,7.0,174.0,0.0,43.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,98.0,16.0,4.97,0.0,10.07,0.0,0.96,0.0,0.0,723.0,306.0,0.0,310.0,0.0,107.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,451.0,92.0,21.03,0.43,55.09,0.0,15.44,1.0,1.0,5100.0,1269.0,12.0,2919.0,0.0,900.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,105.0,12.0,4.64,0.0,6.48,0.0,0.88,0.0,0.0,475.0,235.0,0.0,187.0,0.0,53.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,124.0,15.0,5.81,0.0,6.77,0.0,2.42,0.0,0.0,535.0,225.0,0.0,229.0,0.0,81.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,31.0,9.0,2.0,1.0,4.1,0.0,1.9,0.0,0.0,251.0,63.0,27.0,99.0,0.0,62.0
2015-01-01,2015,1,B6,JetBlue Airways,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,621.0,158.0,40.1,1.31,64.88,1.57,50.14,32.0,1.0,10096.0,2236.0,142.0,4091.0,101.0,3526.0
2015-01-01,2015,1,B6,JetBlue Airways,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,402.0,70.0,18.97,3.12,34.41,0.27,13.22,18.0,1.0,3911.0,1245.0,339.0,1365.0,54.0,908.0
2015-01-01,2015,1,B6,JetBlue Airways,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,357.0,65.0,27.81,2.31,28.78,0.0,6.09,17.0,1.0,3252.0,1611.0,245.0,1086.0,0.0,310.0
2015-01-01,2015,1,B6,JetBlue Airways,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,1594.0,385.0,103.39,8.12,129.94,3.25,140.29,76.0,1.0,22760.0,5911.0,837.0,5211.0,120.0,10681.0
2015-01-01,2015,1,B6,JetBlue Airways,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,80.0,24.0,6.0,0.47,8.9,0.0,8.63,4.0,0.0,1240.0,492.0,20.0,330.0,0.0,398.0
2015-01-01,2015,1,B6,JetBlue Airways,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,170.0,38.0,10.83,0.0,17.7,0.0,9.47,9.0,0.0,1971.0,663.0,0.0,732.0,0.0,576.0
2015-01-01,2015,1,B6,JetBlue Airways,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,589.0,234.0,42.79,1.6,129.74,3.36,56.5,26.0,3.0,14619.0,2077.0,109.0,8234.0,185.0,4014.0
2015-01-01,2015,1,B6,JetBlue Airways,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,115.0,24.0,6.82,0.13,7.72,0.0,9.33,8.0,0.0,1648.0,365.0,24.0,506.0,0.0,753.0
2015-01-01,2015,1,B6,JetBlue Airways,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,50.0,12.0,6.57,0.0,3.27,0.0,2.15,4.0,0.0,595.0,373.0,0.0,92.0,0.0,130.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,18529.0,2033.0,590.49,99.56,781.59,1.64,559.72,99.0,14.0,129006.0,52021.0,9768.0,34586.0,262.0,32369.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,1797.0,178.0,71.12,21.91,54.08,1.0,29.89,13.0,4.0,11056.0,5351.0,1173.0,1527.0,241.0,2764.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,570.0,87.0,33.16,1.94,42.76,0.0,9.15,1.0,0.0,4306.0,1743.0,165.0,2033.0,0.0,365.0
